OBJECTID,FID_Train_Facilities_Transfer_Buffer_160m,Name,SourceID,SourceOID,PosAlong,SideOfEdge,CurbApproach,Status,Attr_Length,Breaks_Length,X,Y,BUFF_DIST,ORIG_FID,FID_Bus_Facilities,Name_1,SourceID_1,SourceOID_1,PosAlong_1,SideOfEdge_1,CurbApproach_1,Status_1,Attr_Length_1,Breaks_Length_1,X_1,Y_1
152,201,Location 201,1,397356,0.317277640805199,1,0,0,0.000000000000000,,317428.033218531,5822036.99585142,160.000000000000000,201,7227,Location 7227,1,12469,0.748290293677319,1,0,0,0.000000000000000,,317425.026000001,5822161.0494
153,182,Location 182,1,703103,0.208431403303020,1,0,0,0.000000000000000,,323995.039272628,5822440.97555932,160.000000000000000,182,7278,Location 7278,1,761314,0.752319907860579,2,0,0,0.000000000000000,,324021.0097,5822430.9867
154,156,Location 156,1,1060818,0.495514362694375,2,0,0,0.000000000000000,,329838.971092925,5822829.03332115,160.000000000000000,156,7352,Location 7352,1,181654,0.211877123260279,1,0,0,0.000000000000000,,329767.964000001,5822797.9863
155,139,Location 139,1,288101,0.145309780277580,2,0,0,0.000000000000000,,320323.040271889,5823190.98890744,160.000000000000000,139,7431,Location 7431,1,465204,0.424187842289385,1,0,0,0.000000000000000,,320228.012800001,5823179.5406
156,181,Location 181,1,401373,0.687351151764405,2,0,0,0.000000000000000,,324340.015945442,5823726.99116399,160.000000000000000,181,7542,Location 7542,1,377195,0.027518933492962,1,0,0,0.000000000000000,,324441.5,5823732.2583
157,181,Location 181,1,401373,0.687351151764405,2,0,0,0.000000000000000,,324340.015945442,5823726.99116399,160.000000000000000,181,7567,Location 7567,1,761907,0.820912972039065,2,0,0,0.000000000000000,,324278.983900001,5823802.9974
158,160,Location 160,1,900447,0.257881800451859,1,0,0,0.000000000000000,,336745.998992831,5824351.96373275,160.000000000000000,160,7654,Location 7654,1,900117,0.428112508850357,2,0,0,0.000000000000000,,336792.998700001,5824214.0308
159,160,Location 160,1,900447,0.257881800451859,1,0,0,0.000000000000000,,336745.998992831,5824351.96373275,160.000000000000000,160,7696,Location 7696,1,900497,0.464640712536648,1,0,0,0.000000000000000,,336798.131900001,5824401.4229
160,157,Location 157,1,1060602,0.480069026648062,2,0,0,0.000000000000000,,331095.966448025,5824525.9968664,160.000000000000000,157,7720,Location 7720,1,1021843,0.016155722786861,1,0,0,0.000000000000000,,331127.029200001,5824532.9611
161,157,Location 157,1,1060602,0.480069026648062,2,0,0,0.000000000000000,,331095.966448025,5824525.9968664,160.000000000000000,157,7734,Location 7734,1,173779,0.247480586271750,1,0,0,0.000000000000000,,330958.4763,5824603.4926
162,180,Location 180,1,1006028,0.564366068861636,2,0,0,0.000000000000000,,324541.03487727,5824728.94923801,160.000000000000000,180,7790,Location 7790,1,1068892,0.018302662963098,1,0,0,0.000000000000000,,324511.000500001,5824779.0407
163,199,Location 199,1,1067656,0.381013416285256,2,0,0,0.000000000000000,,316395.963574376,5824925.03596315,160.000000000000000,199,7806,Location 7806,1,1067659,0.180520565875648,2,0,0,0.000000000000000,,316420.9887,5824920.6322
164,171,Location 171,1,473050,0.867715270564056,1,0,0,0.000000000000000,,303775.960679069,5825012.96791647,160.000000000000000,171,7858,Location 7858,1,1065329,0.676095310874388,2,0,0,0.000000000000000,,303768.1265,5825058.6242
165,137,Location 137,1,1068870,0.722035822646807,1,0,0,0.000000000000000,,320058.971436162,5825433.99916937,160.000000000000000,137,7890,Location 7890,1,239076,0.951895527529474,2,0,0,0.000000000000000,,320043.0235,5825298.9879
166,158,Location 158,1,1065849,0.538847475118928,1,0,0,0.000000000000000,,333235.96380236,5825347.00829066,160.000000000000000,158,7913,Location 7913,1,1021851,0.825287666838486,2,0,0,0.000000000000000,,333114.023600001,5825400.3409
167,137,Location 137,1,1068870,0.722035822646807,1,0,0,0.000000000000000,,320058.971436162,5825433.99916937,160.000000000000000,137,7936,Location 7936,1,788432,0.474018365628398,2,0,0,0.000000000000000,,320186.2639,5825436.992
168,137,Location 137,1,1068870,0.722035822646807,1,0,0,0.000000000000000,,320058.971436162,5825433.99916937,160.000000000000000,137,7933,Location 7933,1,1068871,0.053754019667065,1,0,0,0.000000000000000,,320028.526000001,5825485.5136
169,179,Location 179,1,1042217,0.002915590623738,2,0,0,0.000000000000000,,324719.015787269,5826179.01391958,160.000000000000000,179,8066,Location 8066,1,1042218,0.132752806383425,1,0,0,0.000000000000000,,324816.5136,5826165.4855
170,179,Location 179,1,1042217,0.002915590623738,2,0,0,0.000000000000000,,324719.015787269,5826179.01391958,160.000000000000000,179,8096,Location 8096,1,1040434,0.395063821029315,2,0,0,0.000000000000000,,324704.032900001,5826315.0247
171,197,Location 197,1,1071852,1.000000000000000,2,0,0,0.000000000000000,,316553.980295789,5827314.02900564,160.000000000000000,197,8253,Location 8253,1,1071852,1.000000000000000,1,0,0,0.000000000000000,,316513.543400001,5827290.9137
