OBJECTID,OBJECTID_MODE,Mode,FacilityID_Mode,X,Y,Target break,8_Total_Pat,9_Bus_patronage,10_PropComm,11_Balance,12_LUEntropy,13_PedConnect,14_PBN,15_Parkiteer,16_ACDist,17_ACCount,18_FTZ,19_Parking,20_PropUrban,21_PropRural,22_EmpAccess,23_C_LOS,24_O_Bus_LOS,25_O_Tram_LOS,26_O_Train_LOS,27_O_LOS,28_MedInc,29_PropOS,30_PropBach,31_LocalAccess_800,32_EmpDen_800,33_ResidentialDen_800,34_censored_PropFTE,35_censored_MeanSize,EmpDen_surrogate,Population_surrogate,DestScore_surrogate
198,198-tram,tram,555-tram,322057.0038,5813507.993,600,1688.527128,534.8,0.374514308,0.197698639,0.748404494,143,0.326785253,0,0.744250811,0,0,0,3786.317494,0,458205.2176,114.6153846,122.1538462,0,0,114.6153846,500,0.089581416,0.542260046,2.78,1.74,-0.285578813,0.602707681,2.61205969,8379.106519,3786.317494,7
201,201-tram,tram,557-tram,321852.9739,5813529.999,600,1688.527128,64.5,0.39149395,0.27250898,0.735265816,170,0.35930586,0,0.869496088,0,0,0,4823.686661,0,499331.347,193.2307692,63.61538462,87,0,280.2307692,300,0.08899799,0.552189522,2.59,3.49,-0.061856566,0.546829331,2.64625438,14717.60674,4823.686661,7
2129,2129-tram,tram,559-tram,328607.4662,5813540.984,600,200.9303154,66.5,0,0.055417035,0.162634693,40,0.319999191,0,1.777898435,0,0,0,2478.663867,0,43862.71671,56.30769231,43.76923077,0,0,56.30769231,650,0.020666736,0.65385285,0.977,-0.0334,-0.511155184,0.557474809,2.920834878,1186.308851,2478.663867,3
200,200-tram,tram,556-tram,321570.0101,5813518.036,600,606.2410366,362.2,0.5499552,0.373424043,0.627899614,202,0.456924796,0,1.000520074,0,0,0,7720.603267,0,538946.7228,80.92307692,83.61538462,201.3076923,0,282.2307692,150,0.047650779,0.599032288,1.79,5.73,0.656121549,0.517911865,2.511257388,34500.2425,7720.603267,6
206,206-tram,tram,560-tram,321612.0135,5813551.031,600,606.2410366,362.2,0.534049705,0.358977008,0.642920725,191,0.269040679,0,0.998283384,0,0,0,7361.581003,0,503889.292,9.846153846,83.61538462,109.9230769,0,119.7692308,150,0.051255774,0.596652724,1.8,5.33,0.836825174,0.516573156,2.518951389,31305.81517,7361.581003,6
209,209-tram,tram,562-tram,321548.0083,5813569.959,600,606.2410366,399.5,0.53737083,0.321466072,0.640151931,174,0.416663622,0,0.945276983,0,1,0,8755.715688,0,502945.7182,29,131.6923077,90.76923077,0,119.7692308,150,0.046940858,0.612600968,1.68,5.29,0.983212907,0.512508477,2.439154905,32249.5306,8755.715688,6
211,211-tram,tram,565-tram,321380,5813591.957,600,39.244588,48.9,0.597906632,0.35434276,0.558821482,174,0.2587533,0,0.84051432,0,1,0,9625.216204,0,498776.5207,27.92307692,48.23076923,29,0,56.92307692,150,0.045122767,0.621993589,1.13,6.13,2.044834269,0.502618125,2.413446209,40179.86664,9625.216204,6
210,210-tram,tram,563-tram,321326.0024,5813584.012,600,39.244588,84.4,0.61326145,0.361204395,0.535650556,176,0.431599089,0,0.825327939,0,0,0,10264.11514,0,492788.8902,29,112.4615385,55.84615385,0,84.84615385,150,0.044866699,0.624376567,0.935,6.69,2.092175737,0.499963895,2.415047782,43675.72744,10264.11514,7
2156,2156-tram,tram,573-tram,327057.0007,5813736.992,600,200.9303154,2.9,0.162583486,0.043128799,0.442029237,60,0.319992711,0,0.406565912,1,0,0,3205.0102,0,78383.1467,56.30769231,0.615384615,0,0,56.30769231,650,0.020334899,0.65315288,1.48,-0.208,-0.156137063,0.56550692,2.719740486,1186.309111,3205.0102,5
2152,2152-tram,tram,571-tram,326481.5151,5813710.994,600,739.1729625,373.4,0.113370593,0.043895079,0.408706504,65,0.487582698,0,0.190206753,1,0,0,3147.826639,0,131647.0571,108.7692308,34.15384615,0,0,108.7692308,650,0.031740957,0.676345159,1.67,-0.143,-0.390773045,0.576811655,2.689033462,1186.308978,3147.826639,5
