OBJECTID,OBJECTID_MODE,Mode_Centroid,FacilityID,FacilityID_Mode,X,Y,Name,Target break,Mode standard,Standard?,Cluster sample?,FromBreak,ToBreak,BUFF_DIST,ORIG_FID,Shape_Length,Shape_Area,1_Total_Pat,2_Empden,3_Popden,4_Dwell,5_ActDen,6_PropComm,7_RetailEmp,8_Balance,9_LUEntropy,10_HousingDiv,11_PedConnect,12_PBN,13_DestScore,14_DestCount,15_Parkiteer,16_CBDDist,17_ACDist,18_ACCount,19 _FTZ,20_Parking,21_PropUrban,22_EmpAccess,23_C_LOS,24_O_Bus_LOS,25_O_Tram_LOS,26_O_Train_LOS,27_O_LOS,28_PropFTE,29_MeanSize,30_MedInc,31_PropOS,32_PropBach,0.1_Centroid_patronage,0.2_Bus_patronage,0.2_Bus_Censored,ln_Centroid,ln_bus,ln_emp,ln_pop,Co-located_outlier_tracking
167,167-tram,tram,106,106-tram,321729.0336,5807555.015,Location 106 : 0 - 600,600,600,yes,No,0,600,50,1558,3897.425894,743236.7426,656.0740433,3630.75,6656.7,3072.34,10287.45,0.08,200.16,0.06,0.67,8,146.66,0.57,6,45,0,5.42,0.89,0,0,0,0.63,245988.07,69,16.46,124.92,0,193.92,0.67,2.17,800,0.06,0.49,656.07,17.4,17.4,6.49,2.86,8.2,8.8,
178,178-tram,tram,114,114-tram,321878.4756,5807665.004,Location 114 : 0 - 600,600,600,yes,No,0,600,50,1606,3958.78727,752155.8482,651.8885404,3769.12,7455.96,3357.17,11225.08,0.1,207.79,0.05,0.65,8,147.58,0.32,7,56,0,5.34,0.9,0,0,0,0.71,245988.07,137.69,16.46,56.31,0,194,0.66,2.22,800,0.06,0.49,651.89,17.4,17.4,6.48,2.86,8.23,8.92,
184,184-tram,tram,116,116-tram,321807.0089,5807681.05,Location 116 : 0 - 600,600,600,yes,tram,0,600,50,1618,3772.107338,722513.6434,325.9442702,3710.82,7165.97,3259.02,10876.79,0.09,204.57,0.06,0.65,8,153.63,0.52,7,55,0,5.31,0.95,0,0,0,0.69,193015.13,56.31,16.46,206.69,0,263,0.66,2.2,800,0.06,0.49,325.94,17.4,17.4,5.79,2.86,8.22,8.88,
2099,2099-tram,tram,118,118-tram,325804.4745,5807729.496,Location 118 : 0 - 600,600,600,yes,No,0,600,50,1630,4394.16568,828312.2964,72.94502137,2246.99,5268.51,2370.01,7515.5,0.01,333.6,0.12,0.27,8,97.79,0,5,52,0,7.24,0.79,0,0,0,0.88,126718.53,52.31,25.77,21.15,0,73.46,0.64,2.22,800,0.06,0.64,72.95,10.3,10.3,4.29,2.33,7.72,8.57,
2125,2125-tram,tram,124,124-tram,324990.9919,5807826.484,Location 124 : 0 - 600,600,600,yes,No,0,600,50,1666,4617.462341,852457.7965,348.4033974,2168.65,6240.28,2916.02,8408.94,0.02,288.29,0.09,0.23,8,75.08,0.18,6,47,0,6.62,1.6,0,0,0,0.89,120234.86,94,26.77,0,0,94,0.67,2.14,800,0.06,0.61,348.4,21.7,21.7,5.85,3.08,7.68,8.74,
203,203-tram,tram,125,125-tram,321698.4906,5807822.519,Location 125 : 0 - 600,600,600,yes,No,0,600,50,1672,4020.404488,726101.2104,651.8885404,3628.91,6251.41,2873.63,9880.33,0.07,200.06,0.06,0.66,8,133.59,0.2,6,44,0,5.15,1.13,0,0,0,0.62,193015.13,56.38,16.46,0,0,56.38,0.67,2.18,800,0.05,0.51,651.89,2.5,2.5,6.48,0.92,8.2,8.74,
2150,2150-tram,tram,131,131-tram,324179.5105,5807948.026,Location 131 : 0 - 600,600,600,yes,tram,0,600,50,1710,4382.295801,860167.8865,348.4033974,2418.95,6457.65,3099.96,8876.6,0,321.03,0.09,0.32,8,118.58,0,5,56,0,6.02,1.33,0,0,0,0.77,325541.29,93.54,29.92,0,0,93.54,0.68,2.08,800,0.05,0.59,348.4,11.7,11.7,5.85,2.46,7.79,8.77,
2131,2131-tram,tram,126,126-tram,322078.0007,5807864.503,Location 126 : 0 - 600,600,600,yes,No,0,600,50,1678,4369.242536,820947.3989,651.8885404,3803.3,7416.21,3311.31,11219.51,0.11,209.67,0.05,0.67,8,124.25,0.39,6,55,0,5.19,1.02,0,0,0,0.65,357346.77,61.85,24.23,137.85,0,199.69,0.66,2.24,800,0.06,0.49,651.89,38.4,38.4,6.48,3.65,8.24,8.91,
2185,2185-tram,tram,140,140-tram,322584.5155,5808047.488,Location 140 : 0 - 600,600,600,yes,tram,0,600,50,1764,4066.168923,864111.1792,623.2066049,3772.65,8606.1,3910.18,12378.74,0.22,233.86,0.05,0.67,8,123.83,0.6,5,53,0,5.18,1.22,0,0,0,0.66,273682.4,61.46,39.54,75.92,0,137.38,0.69,2.2,800,0.07,0.51,623.21,52,52,6.43,3.95,8.24,9.06,
2206,2206-tram,tram,146,146-tram,322488.9807,5808138.512,Location 146 : 0 - 600,600,600,yes,No,0,600,50,1800,4240.572295,900471.2675,658.9032967,3766.52,8249.18,3722.84,12015.71,0.24,238.09,0.06,0.73,8,129.93,0.7,6,66,0,5.06,1.29,0,0,0,0.6,424561.43,75.92,56.15,61.46,0,137.38,0.7,2.22,800,0.07,0.51,658.9,99.4,99.4,6.49,4.6,8.23,9.02,
