,Factor1,Factor2,Factor3
3604-bus,-0.94,0.27,-1.25
3490-bus,-0.54,0.06,-0.78
495-train,0.13,0.09,-1.21
3439-bus,-0.62,0.03,-0.68
12473-bus,0.57,0.00,-0.69
5968-bus,-1.29,-0.16,0.33
6924-bus,-1.18,-0.22,0.39
3369-bus,-0.93,0.14,-0.72
3085-bus,-1.03,0.17,-0.95
3630-bus,-1.54,0.27,-0.99
3305-bus,-1.53,0.11,-0.54
10194-bus,-1.00,0.23,-0.64
5743-bus,-1.46,-0.18,0.50
3582-bus,-0.88,0.26,-1.22
12482-bus,0.22,-0.07,-0.36
3265-bus,-1.84,-0.06,0.10
3422-bus,-0.60,0.01,-0.60
3241-bus,-1.16,0.09,-0.61
4615-bus,0.15,0.11,-1.28
9501-bus,-0.83,-0.38,0.57
4266-bus,-1.32,-0.27,0.53
3285-bus,-1.70,-0.06,0.19
3536-bus,-0.90,0.20,-1.04
4609-bus,-0.68,-0.32,0.41
11877-bus,-1.63,-0.27,0.69
3457-bus,-0.59,0.02,-0.65
12054-bus,-1.37,-0.27,0.58
3260-bus,-1.57,-0.17,0.42
9818-bus,-0.44,0.03,-0.66
9352-bus,-0.63,-0.13,0.13
3347-bus,-1.76,-0.13,0.35
4628-bus,-0.51,0.32,-1.58
3783-bus,-1.29,0.29,-1.22
3185-bus,-1.49,0.28,-1.09
9410-bus,-1.36,-0.29,0.90
12075-bus,-1.23,-0.31,0.64
9815-bus,-0.41,0.02,-0.63
3524-bus,-0.73,0.18,-1.05
3735-bus,-1.35,0.28,-1.14
4675-bus,-1.49,-0.13,0.14
9242-bus,-0.58,-0.23,0.42
3861-bus,-0.71,0.32,-1.52
12078-bus,-1.16,-0.28,0.53
3885-bus,-0.72,0.31,-1.50
3912-bus,-1.05,0.30,-1.33
4297-bus,-0.97,0.08,-0.63
9390-bus,-1.17,-0.40,0.78
4315-bus,-0.92,0.04,-0.52
3115-bus,-0.45,-0.10,-0.36
4652-bus,-0.58,0.32,-1.56
3833-bus,-1.29,0.29,-1.21
9453-bus,-1.14,-0.37,0.67
3155-bus,-1.56,-0.10,0.18
3842-bus,-0.99,0.30,-1.36
9935-bus,-0.84,0.03,-0.52
5138-bus,-0.36,-0.04,-0.57
3505-bus,-0.50,0.14,-1.04
9489-bus,-1.31,-0.35,0.71
3121-bus,-0.50,-0.12,-0.28
4742-bus,-1.53,0.27,-1.04
3724-bus,-1.35,0.28,-1.14
12012-bus,-0.10,0.01,-0.76
3390-bus,-0.93,0.14,-0.72
12330-bus,-0.07,-0.06,-0.38
12169-bus,-1.51,-0.02,0.07
12101-bus,-0.10,-0.24,0.15
12181-bus,-1.19,-0.19,0.43
12202-bus,-0.17,-0.25,0.21
12242-bus,-0.17,-0.08,-0.28
3128-bus,-0.49,-0.13,-0.26
3218-bus,-1.49,0.28,-1.09
4480-bus,-1.18,0.01,-0.43
6019-bus,-1.18,0.13,-0.78
5639-bus,-0.67,-0.42,0.61
12452-bus,0.22,-0.06,-0.40
9446-bus,-1.08,-0.33,0.88
6004-bus,-0.36,0.14,-1.15
3257-bus,-1.88,-0.11,0.24
9552-bus,-0.53,-0.35,0.36
7304-bus,-0.33,-0.45,0.78
12073-bus,-1.10,-0.25,0.41
3169-bus,-0.86,-0.15,0.04
12647-bus,0.01,-0.09,0.21
12672-bus,0.08,-0.01,-0.22
4227-bus,-1.02,-0.40,0.87
636-train,-1.85,0.06,-0.27
5785-bus,-0.53,-0.25,0.06
3263-bus,-1.33,0.10,-0.58
12081-bus,-2.07,-0.28,0.89
12723-bus,0.11,0.02,-0.18
11772-bus,-1.74,-0.26,0.70
12581-bus,-0.35,-0.12,-0.01
12254-bus,-1.46,-0.38,0.86
4433-bus,-1.00,-0.13,-0.01
9145-bus,-0.30,-0.21,0.26
5510-bus,-1.42,-0.34,0.71
9664-bus,-0.75,-0.30,0.31
12644-bus,0.00,-0.06,0.21
4449-bus,-1.12,-0.04,-0.22
12706-bus,-0.10,-0.11,0.25
11811-bus,-1.69,-0.24,0.61
11791-bus,-1.45,-0.49,1.25
3250-bus,-1.60,0.18,-0.72
8858-bus,-1.07,-0.19,0.14
654-train,-0.88,0.10,-0.81
11871-bus,-1.96,-0.11,0.28
11697-bus,-1.01,-0.02,-0.32
11944-bus,-1.21,-0.38,0.84
4455-bus,-0.99,-0.10,-0.11
9256-bus,-0.84,-0.42,1.06
3535-bus,-1.40,0.20,-0.83
4287-bus,-0.61,0.06,-0.73
5918-bus,-0.45,0.08,-0.90
4468-bus,-0.88,0.05,-0.61
4070-bus,-0.46,-0.25,0.10
11821-bus,-1.49,-0.50,1.28
9685-bus,-0.68,-0.06,-0.42
4332-bus,-0.54,-0.01,-0.54
3262-bus,-1.39,-0.10,0.08
3045-bus,-1.73,0.18,-0.53
4477-bus,-0.79,0.16,-1.00
4317-bus,-1.19,-0.22,0.32
3399-bus,-0.93,0.13,-0.71
11647-bus,-1.80,-0.11,0.24
3568-bus,-1.35,0.24,-0.96
9803-bus,-0.63,-0.17,-0.08
4413-bus,-1.46,-0.07,-0.06
12079-bus,-1.22,-0.10,0.01
3387-bus,-0.90,0.13,-0.69
12712-bus,-0.13,-0.14,0.25
4305-bus,-0.71,-0.10,-0.23
11920-bus,-1.23,-0.17,0.26
4394-bus,-1.62,-0.21,0.42
12640-bus,-0.07,-0.05,0.25
660-train,0.96,0.13,-1.58
9345-bus,-0.45,0.11,-1.03
5905-bus,-0.51,0.05,-0.76
4421-bus,-1.21,-0.20,0.23
4097-bus,-0.38,-0.24,0.02
11766-bus,-1.58,-0.41,1.10
11995-bus,-1.63,-0.31,0.81
4515-bus,-1.16,0.27,-1.19
12144-bus,-0.86,0.01,-0.51
3372-bus,-0.96,0.10,-0.58
4365-bus,-1.34,-0.20,0.28
4296-bus,-0.68,-0.14,-0.17
8108-bus,-0.22,-0.08,-0.24
4319-bus,-0.88,-0.19,0.10
12150-bus,-0.80,0.06,-0.66
4770-bus,-0.61,-0.22,0.25
4280-bus,-0.07,-0.21,-0.20
4286-bus,0.07,-0.16,-0.41
9254-bus,-0.93,-0.47,1.25
10163-bus,-0.85,-0.02,0.10
4343-bus,-1.04,-0.21,0.16
3678-bus,-1.30,0.14,-0.67
4307-bus,-0.69,-0.15,-0.14
7145-bus,-0.41,0.19,-1.25
4325-bus,-0.71,-0.17,-0.06
11709-bus,-1.76,-0.41,1.14
2893-bus,-1.01,0.17,-0.95
11715-bus,-0.80,-0.36,0.61
6664-bus,-0.25,-0.06,-0.32
11940-bus,-1.10,-0.16,0.17
10050-bus,-1.04,0.49,-1.45
4212-bus,-0.20,-0.32,0.13
9449-bus,-0.57,-0.36,0.77
9979-bus,-1.11,0.49,-1.42
9943-bus,-1.22,0.49,-1.37
4178-bus,-1.59,-0.31,0.70
4253-bus,-0.04,-0.35,0.17
11929-bus,-0.45,-0.14,-0.17
3324-bus,-0.71,0.12,-0.75
11696-bus,-0.51,-0.25,0.24
12104-bus,-0.64,-0.28,0.65
12160-bus,-0.64,-0.26,0.64
11969-bus,-0.65,-0.30,0.58
11747-bus,-0.33,-0.27,0.22
12220-bus,-0.25,-0.21,0.46
11849-bus,-0.54,-0.30,0.43
12354-bus,-0.23,-0.15,0.40
12369-bus,-0.26,-0.14,0.40
12363-bus,-0.45,-0.20,0.64
12390-bus,-0.66,-0.17,0.68
11721-bus,-0.80,-0.39,0.69
9793-bus,-0.77,0.47,-1.55
10056-bus,-0.08,0.52,-1.92
9909-bus,-1.13,0.49,-1.41
11932-bus,-0.82,-0.14,-0.02
3289-bus,-1.01,-0.04,-0.24
12064-bus,-1.35,-0.25,0.50
10001-bus,-0.72,-0.28,0.33
4285-bus,-0.79,0.14,-0.87
3417-bus,-0.89,0.09,-0.60
10134-bus,-0.43,0.49,-1.70
11928-bus,-0.71,-0.15,-0.04
9797-bus,-0.51,-0.06,-0.35
6340-bus,-0.98,-0.07,-0.08
10052-bus,-1.49,-0.40,1.05
6033-bus,-0.68,-0.09,-0.09
9735-bus,-0.84,0.39,-1.29
9247-bus,-1.13,-0.44,1.26
10097-bus,-0.59,-0.29,0.33
4169-bus,-1.44,-0.32,0.65
9682-bus,-0.68,-0.20,0.14
3418-bus,-1.07,0.10,-0.70
2903-bus,-0.78,-0.05,0.15
3067-bus,-1.11,0.19,-0.99
6670-bus,-0.51,-0.18,0.03
3079-bus,-1.63,0.18,-0.74
3062-bus,-1.10,0.22,-1.07
11096-bus,-0.74,-0.25,0.26
3943-bus,-0.72,-0.05,0.13
7767-bus,-0.38,-0.04,-0.20
3937-bus,-0.74,-0.04,0.11
9953-bus,-0.73,-0.32,0.47
5879-bus,-0.77,-0.08,-0.16
10180-bus,-0.64,-0.35,0.55
7580-bus,-0.27,-0.35,0.42
7419-bus,-1.30,-0.51,1.24
7301-bus,0.14,-0.37,0.32
7453-bus,-0.10,-0.42,0.54
7441-bus,-0.10,-0.47,0.64
7435-bus,0.01,-0.36,0.36
7414-bus,-1.66,-0.52,1.40
7520-bus,-0.99,-0.47,0.99
7432-bus,-0.71,-0.49,0.95
7569-bus,-1.56,-0.45,1.17
7470-bus,-1.67,-0.48,1.30
7532-bus,-1.86,-0.44,1.26
7473-bus,0.29,-0.36,0.31
11323-bus,-0.81,-0.22,0.16
4788-bus,-0.25,-0.08,-0.33
6613-bus,-0.47,-0.16,-0.03
12421-bus,0.21,-0.08,-0.32
9938-bus,-1.50,-0.44,1.17
9766-bus,-0.65,-0.18,0.07
11878-bus,-1.59,-0.23,0.58
7488-bus,-0.03,-0.36,0.47
10166-bus,-0.75,-0.02,0.04
4653-bus,-0.61,0.00,-0.59
10158-bus,-1.23,0.49,-1.35
12055-bus,-0.77,0.14,-0.92
11790-bus,-2.03,-0.41,1.27
10219-bus,-0.67,-0.38,0.64
10326-bus,-1.04,-0.16,0.14
4743-bus,-0.32,-0.19,0.01
12128-bus,-1.44,-0.33,0.70
6387-bus,-0.65,-0.05,-0.29
4773-bus,-0.55,-0.15,0.01
11829-bus,-1.39,-0.34,0.79
12635-bus,0.03,-0.04,0.16
6646-bus,-0.21,0.00,-0.50
6307-bus,-1.31,-0.12,0.20
11781-bus,-1.66,-0.27,0.71
11770-bus,-1.74,-0.38,1.06
3413-bus,-1.05,-0.10,0.01
12116-bus,-1.15,-0.35,0.62
3283-bus,-1.46,-0.20,0.41
11769-bus,-0.91,-0.49,1.01
4585-bus,-0.79,-0.25,0.18
3429-bus,-1.14,0.09,-0.47
6090-bus,-0.29,-0.30,0.14
12052-bus,-0.96,0.01,-0.44
12634-bus,-0.47,-0.31,0.62
12697-bus,-0.21,-0.33,0.63
12764-bus,-0.04,-0.21,0.41
12083-bus,0.19,-0.12,0.05
12196-bus,0.38,-0.07,-0.07
12260-bus,0.33,-0.06,-0.06
12296-bus,0.56,-0.06,-0.16
12636-bus,0.66,-0.21,0.07
12734-bus,0.09,-0.26,0.41
3672-bus,-1.31,0.01,-0.22
4504-bus,-0.18,-0.06,-0.62
10154-bus,-0.46,0.41,-1.43
10136-bus,-1.01,-0.34,0.71
11347-bus,-1.06,-0.42,0.88
7358-bus,-0.37,-0.41,0.71
5770-bus,-0.75,0.27,-1.36
6282-bus,-0.72,-0.14,0.01
3275-bus,-1.47,0.05,-0.35
6424-bus,-0.08,-0.15,-0.26
5888-bus,-0.73,-0.12,-0.04
12388-bus,-1.01,0.43,-1.44
9175-bus,-0.77,-0.29,0.68
11854-bus,-1.50,-0.51,1.33
11851-bus,-1.18,-0.16,0.11
4563-bus,-0.38,-0.25,0.03
4619-bus,-0.63,-0.19,0.09
11737-bus,-0.15,0.17,-1.19
4557-bus,0.09,-0.18,-0.33
10419-bus,-0.42,-0.43,0.68
7318-bus,-0.22,-0.31,0.32
4271-bus,-0.76,-0.34,0.66
4558-bus,0.08,-0.19,-0.29
5286-bus,-0.69,-0.11,-0.07
3427-bus,-1.07,-0.25,0.44
5897-bus,-0.42,0.09,-0.97
12565-bus,-0.23,-0.27,0.40
12025-bus,-1.10,-0.14,0.07
8167-bus,-1.44,-0.22,0.60
11964-bus,-2.04,-0.30,1.07
4555-bus,-0.20,-0.18,-0.19
6165-bus,-0.48,-0.43,0.62
11668-bus,-1.74,-0.06,0.07
12623-bus,-0.09,-0.12,0.17
7240-bus,-0.18,-0.31,0.29
7211-bus,-0.24,-0.33,0.37
4725-bus,-0.70,-0.23,0.29
12401-bus,-1.01,0.45,-1.44
9427-bus,-0.51,-0.35,0.71
11740-bus,-1.05,-0.43,0.91
11812-bus,-1.00,-0.29,0.49
12061-bus,-1.42,-0.43,1.05
9917-bus,-1.29,-0.48,1.21
12027-bus,-1.68,-0.41,1.15
3658-bus,-1.29,0.04,-0.33
5283-bus,-0.67,-0.12,-0.06
5301-bus,-0.36,-0.16,-0.07
11413-bus,-1.61,-0.18,0.55
11785-bus,-1.28,-0.36,0.82
11959-bus,-1.22,-0.37,0.80
4570-bus,-0.22,-0.23,-0.02
12072-bus,-1.35,-0.38,0.89
3304-bus,-1.42,-0.17,0.35
6565-bus,-0.43,-0.14,-0.10
12036-bus,-1.48,-0.50,1.34
11971-bus,-1.50,-0.36,0.88
11883-bus,-1.55,-0.54,1.42
12653-bus,0.03,-0.14,0.21
4459-bus,-1.18,0.02,-0.48
3157-bus,-0.71,-0.05,-0.33
4464-bus,-0.83,0.06,-0.74
6817-bus,-0.61,-0.21,0.17
6435-bus,-0.83,-0.04,-0.22
4689-bus,-0.66,-0.20,0.24
6408-bus,0.12,-0.27,0.05
6577-bus,-0.44,-0.13,-0.12
11092-bus,-0.68,-0.24,0.20
4064-bus,-1.37,-0.65,1.79
4482-bus,-0.28,-0.03,-0.66
4492-bus,-0.32,-0.07,-0.48
4109-bus,-1.52,-0.76,2.19
11007-bus,-0.82,-0.28,0.48
4-bus,-0.63,0.03,-0.45
11763-bus,-1.02,-0.24,0.37
12021-bus,-1.28,-0.35,0.78
12383-bus,-1.09,0.22,-0.97
4119-bus,-1.51,-0.79,2.27
4082-bus,-1.43,-0.70,1.96
11179-bus,-0.38,-0.26,0.17
11180-bus,-0.31,-0.25,0.14
12574-bus,0.00,-0.06,0.01
12206-bus,-1.06,-0.08,-0.01
4055-bus,-1.31,-0.60,1.61
6753-bus,-0.07,-0.09,-0.29
6843-bus,-0.23,-0.22,0.02
3152-bus,-0.08,-0.15,-0.36
5295-bus,-0.74,-0.14,0.04
3649-bus,-1.35,-0.02,-0.08
12040-bus,-1.15,-0.18,0.24
4438-bus,-1.13,-0.20,0.14
4424-bus,-1.11,-0.12,-0.13
4456-bus,-1.06,-0.19,0.09
4302-bus,-1.17,-0.26,0.43
11655-bus,-0.64,0.10,-0.65
4139-bus,-1.20,-0.73,1.95
7392-bus,0.02,-0.29,0.21
5289-bus,-0.72,-0.15,0.04
3271-bus,-1.49,-0.14,0.31
12006-bus,-1.68,-0.37,1.01
11186-bus,-0.22,-0.25,0.15
11415-bus,-1.73,-0.06,0.24
10213-bus,-1.03,-0.56,1.29
4473-bus,-1.06,-0.22,0.19
11904-bus,-2.13,-0.44,1.41
7483-bus,0.51,-0.29,0.06
11704-bus,-1.12,-0.21,0.30
11917-bus,-1.90,-0.46,1.36
12571-bus,-0.33,-0.03,0.30
6763-bus,-0.86,-0.22,0.30
11865-bus,-2.08,-0.37,1.16
11836-bus,-1.90,-0.19,0.57
2951-bus,-1.08,-0.24,0.37
9736-bus,-0.77,-0.39,0.75
6586-bus,-0.47,-0.17,0.01
10175-bus,-0.27,0.17,-0.64
4491-bus,-0.98,-0.28,0.35
4510-bus,-0.94,-0.33,0.50
3796-bus,-1.43,0.19,-0.80
9667-bus,-0.73,-0.43,0.83
3829-bus,-1.60,0.05,-0.33
4146-bus,-1.14,-0.66,1.73
4527-bus,-0.35,-0.14,-0.23
11434-bus,-1.76,-0.13,0.48
3435-bus,-1.03,0.09,-0.51
11327-bus,-0.92,-0.30,0.47
10788-bus,-0.39,0.08,-0.78
12022-bus,-1.61,-0.31,0.80
5385-bus,-0.36,-0.46,0.85
3802-bus,-1.50,0.16,-0.69
11197-bus,-0.61,-0.19,0.19
3814-bus,-1.53,0.13,-0.59
3517-bus,-0.94,-0.11,-0.03
11200-bus,-0.62,-0.27,0.41
11907-bus,-1.52,-0.46,1.21
7147-bus,-0.32,-0.33,0.39
10257-bus,-1.01,-0.37,0.80
11719-bus,-1.05,-0.23,0.36
9408-bus,-0.19,-0.07,-0.47
12427-bus,0.23,0.00,-0.07
12705-bus,0.28,-0.21,0.10
12643-bus,0.47,-0.06,-0.15
12762-bus,0.56,0.01,-0.29
12675-bus,0.52,-0.12,-0.22
12714-bus,0.14,-0.20,0.12
12676-bus,0.22,-0.25,0.01
12683-bus,0.15,-0.25,0.07
12651-bus,0.49,-0.09,-0.28
12543-bus,0.15,-0.04,-0.17
12459-bus,-0.23,-0.02,-0.02
3847-bus,-1.51,-0.02,-0.18
12670-bus,0.51,-0.24,-0.08
12661-bus,0.38,-0.11,-0.16
12759-bus,0.03,-0.02,0.13
12757-bus,0.05,-0.03,0.22
12749-bus,-0.59,-0.05,0.54
12507-bus,-0.07,-0.10,0.26
12594-bus,0.54,-0.06,-0.10
12701-bus,0.49,0.01,-0.26
11716-bus,-0.96,-0.22,0.27
12377-bus,0.30,0.06,-0.61
11758-bus,-1.17,-0.32,0.68
7565-bus,0.34,-0.37,0.37
4470-bus,-1.19,0.07,-0.56
11760-bus,-1.22,-0.38,0.86
11451-bus,-1.78,-0.23,0.79
4521-bus,-1.17,0.27,-1.20
7697-bus,-0.92,-0.43,1.14
5355-bus,0.08,-0.31,0.20
12691-bus,-0.24,-0.29,0.38
5307-bus,-0.67,-0.13,-0.02
3787-bus,-0.55,0.20,-1.20
7416-bus,-0.62,0.23,-1.32
9991-bus,-1.22,0.49,-1.36
7452-bus,-0.62,0.23,-1.30
10830-bus,-1.24,-0.45,1.06
7444-bus,-0.63,0.22,-1.28
3320-bus,-1.01,-0.18,0.24
3790-bus,-0.73,0.20,-1.12
7572-bus,0.31,-0.40,0.45
7477-bus,-1.00,0.19,-1.02
7464-bus,-1.01,0.20,-1.05
7467-bus,-1.00,0.17,-0.97
12067-bus,-0.56,-0.03,-0.40
7367-bus,-1.13,-0.31,0.60
5116-bus,0.43,0.03,-1.08
6655-bus,-0.97,0.12,-0.66
11677-bus,-0.82,0.28,-1.11
4306-bus,-0.53,0.11,-0.93
7587-bus,-0.46,-0.47,0.99
7581-bus,-0.31,-0.45,0.87
4226-bus,-1.72,-0.42,1.24
7462-bus,-1.18,0.13,-0.76
12130-bus,-0.06,-0.25,0.34
12193-bus,-0.06,-0.21,0.30
11864-bus,-0.27,-0.24,0.29
11786-bus,-0.19,-0.21,0.16
12184-bus,-0.38,-0.26,0.54
12248-bus,-0.57,-0.26,0.69
12417-bus,-0.63,-0.35,1.10
12316-bus,-0.60,-0.23,0.71
4803-bus,0.00,-0.03,-0.56
4498-bus,-1.07,-0.03,-0.35
7480-bus,-1.22,0.08,-0.60
12470-bus,0.47,0.01,-0.56
7429-bus,-1.45,0.04,-0.40
4537-bus,-1.22,-0.15,0.08
12456-bus,-0.62,-0.18,0.65
12555-bus,-0.33,-0.12,0.44
12738-bus,0.13,0.06,-0.12
12687-bus,0.03,0.19,-0.60
4791-bus,0.00,-0.06,-0.46
5388-bus,-0.45,-0.53,1.10
6417-bus,0.02,-0.32,0.24
12509-bus,0.25,0.00,-0.32
4259-bus,-0.77,-0.39,0.79
11727-bus,-1.07,-0.26,0.45
7592-bus,-0.90,-0.46,1.13
6639-bus,-0.14,0.04,-0.62
7349-bus,-0.62,0.02,-0.66
3784-bus,-0.90,0.13,-0.84
4509-bus,-0.99,0.00,-0.46
5262-bus,-0.79,-0.11,0.03
11191-bus,-0.37,-0.16,0.02
11728-bus,-1.16,-0.11,0.04
3290-bus,-0.97,-0.18,0.20
9947-bus,-0.95,-0.49,1.09
12361-bus,0.10,-0.09,-0.21
4167-bus,-0.96,-0.52,1.25
10677-bus,-0.45,-0.45,0.77
9176-bus,-0.48,-0.19,0.00
10986-bus,-1.24,-0.54,1.26
10614-bus,-0.42,-0.45,0.73
3780-bus,-1.53,0.06,-0.39
3974-bus,-1.39,-0.07,0.26
6693-bus,-1.01,0.14,-0.69
4662-bus,-0.49,-0.13,-0.03
4561-bus,-1.15,-0.20,0.17
7542-bus,-1.17,-0.12,0.19
11378-bus,-1.04,-0.38,0.75
4543-bus,-0.76,-0.16,-0.01
11710-bus,-1.38,-0.01,-0.19
11542-bus,-1.33,-0.03,-0.13
11050-bus,-1.19,-0.40,0.92
12396-bus,0.92,-0.04,-0.30
5316-bus,-0.10,-0.12,-0.29
4575-bus,-0.74,-0.23,0.11
3233-bus,-0.94,0.08,-0.71
4564-bus,-0.66,-0.18,-0.08
4184-bus,-0.78,-0.43,0.92
4138-bus,-1.55,0.22,-0.90
4551-bus,-0.55,-0.15,-0.18
3397-bus,-1.09,-0.17,0.20
11148-bus,-1.54,-0.60,1.53
11797-bus,-1.64,-0.32,0.85
7307-bus,1.04,-0.23,-0.38
10821-bus,-0.41,-0.28,0.22
2953-bus,-0.85,-0.42,0.79
4442-bus,-0.79,-0.34,0.60
11222-bus,-0.79,-0.32,0.64
3777-bus,-1.67,-0.01,-0.13
12334-bus,0.22,0.03,-0.24
4428-bus,-0.76,-0.33,0.55
4289-bus,-1.07,-0.11,0.03
12234-bus,-1.13,0.20,-1.01
4225-bus,-1.92,-0.02,0.05
3774-bus,-1.89,-0.03,0.03
4583-bus,-0.17,-0.26,0.05
12237-bus,-1.42,0.27,-1.11
3771-bus,-1.90,-0.03,0.04
11446-bus,-1.75,-0.22,0.73
12228-bus,-1.17,0.16,-0.87
3768-bus,-1.98,0.00,-0.04
4208-bus,-0.71,-0.37,0.72
12046-bus,-0.53,-0.46,0.83
12048-bus,-0.52,-0.45,0.82
4000-bus,-1.31,-0.06,0.23
10185-bus,-0.94,0.24,-0.61
10551-bus,-0.73,-0.33,0.54
5927-bus,0.89,0.24,-1.71
7297-bus,-0.17,-0.39,0.54
10012-bus,-0.10,-0.09,-0.05
7471-bus,-1.11,-0.12,0.15
4401-bus,-1.13,-0.50,1.16
3466-bus,-1.59,0.12,-0.52
11731-bus,-1.16,-0.28,0.56
12593-bus,0.37,-0.05,-0.15
3319-bus,-0.88,-0.18,0.19
6429-bus,-0.48,-0.35,0.55
12001-bus,-0.53,-0.15,-0.10
12604-bus,0.64,0.34,-0.32
11718-bus,-0.87,0.05,-0.50
11707-bus,-1.78,-0.43,1.20
3854-bus,-1.56,-0.10,0.08
11174-bus,-0.87,-0.28,0.40
7258-bus,0.69,-0.27,-0.13
10305-bus,-1.02,-0.43,0.97
6978-bus,-0.45,-0.16,-0.06
4295-bus,-1.03,-0.16,0.19
8710-bus,-1.57,0.18,-0.71
3468-bus,-1.36,0.09,-0.41
9607-bus,-0.46,0.19,-0.84
12253-bus,-1.94,0.26,-0.85
3440-bus,-1.23,0.12,-0.68
4238-bus,-0.51,-0.24,0.26
3519-bus,-0.96,0.23,-1.00
11216-bus,-0.59,-0.25,0.37
12222-bus,-1.05,0.11,-0.76
4536-bus,-0.94,-0.41,0.78
4540-bus,-0.91,-0.41,0.80
12042-bus,-1.05,-0.41,0.90
8595-bus,-0.91,0.23,-1.14
10623-bus,-0.70,-0.39,0.71
3436-bus,-0.64,0.14,-0.97
3531-bus,-1.58,0.24,-0.74
11773-bus,-1.64,-0.28,0.74
4578-bus,-0.54,-0.31,0.35
12009-bus,-0.61,-0.11,-0.18
12216-bus,-1.06,0.10,-0.74
11338-bus,-0.70,-0.38,0.62
3857-bus,-0.73,-0.30,0.39
7217-bus,-0.07,0.08,-0.81
11452-bus,-1.70,-0.22,0.74
3456-bus,-0.95,0.11,-0.64
12261-bus,-1.87,0.29,-0.95
8509-bus,-0.42,0.20,-1.23
3546-bus,-1.63,0.24,-0.80
3543-bus,-1.63,0.24,-0.76
12458-bus,0.23,0.00,-0.46
12442-bus,0.17,0.14,-0.87
12415-bus,0.05,0.29,-1.27
3465-bus,-1.02,0.11,-0.61
12015-bus,-1.28,-0.34,0.77
3447-bus,-1.03,0.11,-0.59
11042-bus,-0.90,-0.36,0.72
11887-bus,-1.41,-0.44,1.11
3442-bus,-0.83,-0.09,-0.13
3326-bus,-1.00,-0.19,0.26
4572-bus,-0.82,-0.35,0.58
9993-bus,-0.58,0.35,-1.55
12412-bus,-0.97,0.49,-1.48
6979-bus,-0.98,-0.25,0.38
3584-bus,-1.32,0.23,-0.99
4216-bus,-2.11,0.02,0.00
4228-bus,-1.63,0.00,-0.12
3645-bus,-1.40,-0.07,0.11
6537-bus,-0.28,-0.18,-0.03
12495-bus,0.09,-0.37,0.43
3561-bus,-0.77,-0.04,-0.29
4554-bus,-0.89,-0.40,0.75
5375-bus,-0.31,-0.16,-0.28
8745-bus,-1.33,0.20,-0.87
12210-bus,-1.50,0.10,-0.42
11485-bus,-0.94,-0.30,0.48
12519-bus,-0.91,-0.57,1.28
8524-bus,-0.49,0.17,-1.10
6249-bus,-0.76,-0.16,0.10
7324-bus,-1.81,-0.29,0.96
4293-bus,-0.61,-0.10,-0.15
11057-bus,-0.97,-0.35,0.70
11634-bus,-0.60,0.03,-0.45
7739-bus,-0.28,-0.04,-0.38
5341-bus,-0.85,-0.18,0.01
11844-bus,-1.07,-0.27,0.45
12492-bus,-1.09,-0.68,1.68
8484-bus,-0.44,0.24,-1.36
12034-bus,-0.94,-0.36,0.71
10911-bus,-0.44,-0.40,0.59
7426-bus,-1.80,-0.37,1.20
8478-bus,-0.50,0.21,-1.23
4240-bus,-1.08,-0.06,-0.19
3224-bus,-1.06,-0.05,-0.23
3172-bus,0.64,0.14,-1.48
11066-bus,-0.53,-0.27,0.28
11922-bus,-1.06,-0.40,0.84
11466-bus,-1.34,-0.23,0.58
11233-bus,-1.22,-0.28,0.68
4436-bus,-0.60,-0.36,0.56
12134-bus,-0.86,-0.40,0.74
11919-bus,-1.37,-0.42,1.02
9585-bus,0.17,0.34,-1.93
11874-bus,-0.53,-0.24,0.18
11469-bus,-1.27,-0.16,0.21
3181-bus,0.70,0.16,-1.57
3476-bus,-1.36,0.13,-0.66
4213-bus,-1.51,0.12,-0.53
12033-bus,-0.69,-0.31,0.47
11814-bus,-1.12,-0.21,0.30
12537-bus,-1.27,-0.46,1.12
4262-bus,-0.23,-0.14,-0.12
5986-bus,0.08,-0.35,0.26
11703-bus,-0.84,-0.17,0.10
11643-bus,-1.88,-0.29,0.84
8279-bus,-0.59,-0.12,-0.16
7553-bus,-1.02,-0.33,0.76
11934-bus,-1.72,-0.26,0.81
4168-bus,-0.80,0.20,-1.11
12076-bus,-0.41,-0.18,0.03
7225-bus,-0.07,-0.33,0.36
9553-bus,-0.55,0.02,-0.29
4009-bus,-0.40,-0.02,-0.27
3477-bus,-1.02,0.12,-0.63
11925-bus,-1.63,-0.39,1.03
4091-bus,-0.75,-0.19,0.04
4061-bus,-0.76,-0.40,0.74
9973-bus,0.11,-0.14,0.00
7713-bus,-0.03,0.03,-0.71
7610-bus,-0.81,-0.23,0.41
4589-bus,-1.20,-0.38,0.81
5277-bus,0.06,-0.31,0.22
6460-bus,-0.33,-0.17,-0.04
7199-bus,-0.11,-0.35,0.42
4292-bus,-0.33,-0.05,-0.36
9858-bus,-0.55,0.37,-1.61
7742-bus,-1.26,-0.14,0.30
11935-bus,-1.03,-0.35,0.65
12070-bus,-0.29,-0.27,0.28
11869-bus,-1.04,-0.24,0.38
4192-bus,-0.75,0.24,-1.21
12483-bus,-0.88,-0.46,0.93
12085-bus,-1.64,-0.24,0.52
12449-bus,-0.09,-0.03,0.19
7670-bus,-0.68,-0.20,0.29
11839-bus,-1.34,-0.34,0.80
6790-bus,-0.09,-0.10,-0.19
