          X6_PropComm  X8_Balance X9_LUEntropy X10_HousingDiv X11_IntDensity X12_CycleConnect X13_DestScore   X16_CBDDist
12283-bus -0.47387740 -0.68471107  -1.62493571    -2.37354547  -1.8335462863      -0.60105741    -1.7662562  2.399110e+00
11065-bus -0.41257957 -0.77533121  -0.09488237    -2.37354547  -1.6584496611      -0.60105741     0.4214830  2.100730e+00
3022-bus  -0.59647307 -0.59409093   0.17121386    -2.37354547  -1.9690748130      -0.60105741    -1.7662562  2.088643e+00
3017-bus  -0.59647307 -0.68471107  -0.02835831    -2.37354547  -1.5338257286      -0.60105741    -1.7662562  2.149075e+00
12298-bus  2.77490773 -0.77533121  -0.02835831    -2.37354547  -0.8452785012      -0.60105741    -1.2193214  2.566052e+00
3987-bus  -0.59647307 -0.68471107   0.83645445    -0.54061792  -1.5444187628      -0.60105741    -1.7662562  9.699060e-01
3975-bus  -0.59647307 -0.77533121   1.36864691     0.07035793  -0.9094598265      -0.60105741    -1.7662562  1.162531e+00
3970-bus  -0.59647307 -0.77533121   0.63688227    -1.15159377  -0.9054095487      -0.60105741    -1.7662562  1.174618e+00
12297-bus  2.52971640 -0.77533121  -0.02835831    -2.37354547  -0.8589871338      -0.60105741    -1.2193214  2.579649e+00
12294-bus  2.65231207 -0.77533121  -0.09488237    -2.37354547  -0.8670876894      -0.60105741    -1.2193214  2.562275e+00
3973-bus  -0.47387740 -0.77533121   1.83431532     0.07035793  -0.6000809139      -0.60105741    -1.2193214  1.150445e+00
12288-bus  2.10063157 -0.77533121  -0.42750266    -2.37354547  -1.0652397422      -0.60105741    -1.7662562  2.553210e+00
12286-bus  1.48765324 -0.77533121  -0.29445455    -2.37354547  -1.2372207691      -0.60105741    -1.2193214  2.564541e+00
11075-bus -0.59647307 -0.59409093  -0.76012296    -2.37354547  -1.9569239796      -0.60105741    -1.7662562  2.331880e+00
2996-bus  -0.35128174 -0.77533121  -0.02835831    -1.76256962  -1.8379081240      -0.60105741    -1.7662562  1.837097e+00
3391-bus  -0.59647307 -0.77533121  -0.76012296    -1.76256962  -0.7810971759      -0.60105741    -1.7662562  2.225370e+00
3016-bus  -0.59647307 -0.68471107  -0.56055078    -2.37354547  -1.4515739331      -0.60105741    -1.2193214  2.170226e+00
3002-bus  -0.59647307 -0.68471107  -0.36097860    -2.37354547  -1.6649924176      -0.60105741    -1.7662562  2.247276e+00
6883-bus  -0.53517524 -0.59409093  -1.69145977    -0.54061792   0.2261757589      -0.60105741     0.4214830 -6.422733e-02
3368-bus   0.07780309 -0.77533121   1.63474315    -1.76256962  -0.5938497173      -0.60105741    -1.2193214  2.164938e+00
3991-bus  -0.59647307  0.67459101  -0.62707484    -2.37354547  -1.9837181251      -0.60105741    -1.7662562  7.833239e-01
11084-bus -0.22868607 -0.77533121   1.50169503    -2.37354547  -1.4310109842      -0.60105741    -1.7662562  2.393067e+00
10988-bus -0.53517524 -0.77533121  -0.02835831    -2.37354547  -1.6254243190      -0.60105741    -0.6723866  2.031989e+00
3049-bus  -0.59647307 -0.68471107  -1.49188760    -1.76256962  -1.6693542552      -0.60105741    -1.7662562  2.427060e+00
11081-bus -0.53517524 -0.68471107   0.76993039    -2.37354547  -1.8989738509      -0.60105741    -1.7662562  2.364362e+00
11054-bus -0.41257957 -0.77533121  -0.02835831    -2.37354547  -1.4104480353      -0.60105741     0.4214830  2.077312e+00
7042-bus  -0.59647307 -0.68471107  -1.35883948    -1.15159377   0.3476840932      -0.60105741    -0.6723866 -8.991070e-02
6783-bus  -0.59647307 -0.50347079  -2.29017630    -0.54061792   0.2062359297      -0.60105741    -0.6723866 -4.458710e-02
3458-bus  -0.59647307 -0.68471107  -1.95755601    -2.37354547  -1.8189029743      -0.60105741    -1.7662562  2.277492e+00
11086-bus  0.01650526 -0.77533121   1.50169503    -2.37354547  -1.2677536326      -0.60105741    -1.7662562  2.412707e+00
6910-bus  -0.47387740 -0.68471107  -1.62493571     0.07035793   0.6365000568      -0.60105741     0.9684178 -4.987486e-02
12733-bus -0.53517524  0.40273059  -1.35883948     1.29230963  -0.9764451902      -0.60105741     0.4214830 -9.080016e-01
3472-bus  -0.59647307 -0.68471107  -2.02408006    -2.37354547  -2.0217284245      -0.60105741    -1.7662562  2.302420e+00
4083-bus  -0.59647307 -0.77533121  -1.42536354    -1.76256962  -0.7468255945      -0.60105741    -1.7662562  8.815250e-01
10949-bus -0.59647307 -0.77533121  -0.49402672    -2.37354547  -1.4341265825      -0.60105741    -1.7662562  1.896773e+00
2998-bus   1.73284458 -0.77533121   1.50169503    -1.76256962  -1.4849108350      -0.60105741    -1.2193214  1.838608e+00
11030-bus -0.59647307 -0.77533121   0.10468980    -2.37354547  -1.4955038693      -0.60105741    -0.6723866  1.973824e+00
10940-bus -0.59647307 -0.77533121  -0.36097860    -2.37354547  -1.4241566679      -0.60105741    -1.7662562  1.889975e+00
3445-bus  -0.59647307 -0.77533121  -0.49402672    -1.76256962  -1.7382089779      -0.60105741    -1.7662562  2.353786e+00
11087-bus -0.16738824 -0.77533121   0.96950256    -2.37354547  -1.2805275856      -0.60105741    -1.7662562  2.447455e+00
2958-bus  -0.59647307 -0.32223051  -0.22793049    -2.37354547  -1.9743713301      -0.60105741    -1.7662562  3.293496e+00
3050-bus  -0.59647307 -0.68471107  -1.35883948    -1.76256962  -1.4387999800      -0.60105741    -1.7662562  2.411952e+00
12282-bus -0.35128174 -0.77533121   0.76993039    -1.76256962  -0.8695801681      -0.60105741    -0.6723866  2.668030e+00
10928-bus -0.59647307 -0.77533121  -0.16140643    -1.76256962  -1.4434733775      -0.60105741    -1.7662562  1.870335e+00
11041-bus -0.47387740 -0.77533121  -0.02835831    -2.37354547  -1.3926891249      -0.60105741     0.4214830  2.050874e+00
12768-bus -0.28998390 -0.77533121   1.03602662    -1.76256962  -0.3972554637      -0.60105741    -1.7662562  2.659721e+00
3389-bus  -0.59647307 -0.77533121  -0.29445455    -1.76256962  -1.0761443363      -0.60105741    -1.7662562  2.401376e+00
3047-bus  -0.59647307 -0.68471107  -1.55841166    -1.76256962  -1.3537441460      -0.60105741    -1.7662562  2.411196e+00
3367-bus  -0.59647307 -0.77533121  -0.76012296    -2.37354547  -1.2337936109      -0.60105741    -1.2193214  2.424793e+00
3359-bus  -0.59647307 -0.77533121  -0.82664701    -2.37354547  -1.1459337385      -0.60105741    -1.2193214  2.433858e+00
11089-bus -0.16738824 -0.77533121   0.96950256    -2.37354547  -1.3116835688      -0.60105741    -1.7662562  2.459541e+00
3993-bus  -0.59647307  0.67459101  -0.36097860    -2.37354547  -2.0366832964      -0.60105741    -1.7662562  7.500866e-01
3007-bus  -0.53517524 -0.68471107   0.30426198    -0.54061792  -1.4341265825      -0.60105741    -1.2193214  2.325837e+00
4566-bus  -0.59647307 -0.41285065   0.96950256    -1.15159377  -1.4201063901      -0.60105741    -0.6723866  2.566447e-02
3331-bus  -0.59647307 -0.77533121  -1.35883948    -2.37354547  -0.9608671986      -0.60105741    -1.2193214  2.454254e+00
3008-bus  -0.59647307 -0.59409093  -0.36097860    -1.76256962  -1.5755747460      -0.60105741    -1.7662562  2.300909e+00
3005-bus  -0.59647307 -0.68471107  -0.95969513    -2.37354547  -1.6045498103      -0.60105741    -1.2193214  2.216305e+00
11098-bus -0.16738824 -0.68471107   1.43517097    -2.37354547  -1.2733617095      -0.60105741    -1.7662562  2.463318e+00
3314-bus  -0.59647307 -0.77533121  -1.22579136    -2.37354547  -1.5194939763       0.82050814    -1.2193214  2.473894e+00
3994-bus  -0.59647307  0.67459101  -0.29445455    -2.37354547  -2.0429144930      -0.60105741    -1.7662562  7.402665e-01
3317-bus  -0.59647307 -0.77533121  -1.42536354    -2.37354547  -1.8048827819       0.63508654    -1.2193214  2.485225e+00
3013-bus  -0.59647307 -0.68471107  -0.95969513    -0.54061792  -1.2873819019      -0.60105741    -1.2193214  2.201197e+00
3046-bus  -0.59647307 -0.77533121  -1.42536354    -1.76256962  -1.0895414090      -0.60105741    -1.7662562  2.382491e+00
3044-bus  -0.59647307 -0.77533121  -0.09488237    -1.76256962  -0.6144126661      -0.60105741    -1.7662562  2.347743e+00
3035-bus  -0.53517524 -0.77533121   1.23559880     0.07035793  -1.2873819019       1.37677292    -1.7662562  2.250298e+00
11090-bus -0.22868607 -0.77533121   1.23559880    -2.37354547  -1.4855339547      -0.60105741    -1.7662562  2.475405e+00
11093-bus -0.10609041 -0.77533121   0.96950256    -2.37354547  -1.2288086536      -0.60105741    -1.7662562  2.471628e+00
3295-bus  -0.59647307 -0.41285065  -0.49402672    -1.76256962  -1.6391329516       1.56219451    -1.7662562  2.538858e+00
3302-bus  -0.59647307 -0.59409093  -0.36097860    -1.76256962  -1.7936666279       1.37677292    -1.2193214  2.550189e+00
3299-bus  -0.59647307 -0.41285065  -1.09274325    -1.76256962  -1.5484690406       1.31496572    -1.7662562  2.574361e+00
3029-bus   0.32299442 -0.77533121   1.70126721     0.07035793  -0.5203215971       1.68580890    -1.2193214  2.260118e+00
3332-bus  -0.59647307 -0.68471107  -2.09060412    -2.37354547  -2.0341908178      -0.60105741    -1.7662562  1.880155e+00
3040-bus  -0.59647307 -0.68471107  -0.42750266    -1.15159377  -1.5590620749      -0.60105741    -1.7662562  2.347743e+00
3028-bus  -0.16738824 -0.77533121   0.10468980    -0.54061792  -0.4218686904      -0.60105741    -1.2193214  2.291844e+00
3011-bus  -0.59647307 -0.77533121  -0.16140643    -1.15159377  -1.0493501908      -0.60105741    -1.7662562  2.384758e+00
4963-bus  -0.59647307 -0.77533121  -1.35883948    -1.15159377  -1.0773905756      -0.60105741    -1.7662562 -2.553418e-01
9807-bus   5.10422537  6.47427987  -1.69145977    -0.54061792  -1.4422271381      -0.60105741    -1.2193214 -2.009535e-01
8884-bus   0.01650526 -0.41285065   0.10468980     0.07035793   0.1834920620      -0.60105741    -0.1254518 -2.213491e-01
9000-bus  -0.28998390 -0.41285065  -0.16140643     0.07035793   0.1445470831      -0.60105741    -0.6723866 -2.251261e-01
8854-bus   1.24246191 -0.50347079   1.63474315     0.07035793  -0.5717289693      -0.60105741    -0.6723866 -1.956658e-01
9040-bus  -0.28998390 -0.41285065  -0.02835831     0.07035793   0.0940743904      -0.60105741    -0.6723866 -2.266369e-01
9132-bus  -0.28998390 -0.32223051   0.10468980    -0.54061792   0.0320739840      -0.60105741    -0.6723866 -2.455217e-01
9063-bus  -0.10609041 -0.41285065   1.23559880     0.07035793  -0.2427217873      -0.60105741    -1.2193214 -2.047305e-01
9102-bus  -0.28998390 -0.41285065   1.10255068     0.07035793   0.0411092191      -0.60105741    -1.2193214 -2.032197e-01
9193-bus  -0.28998390 -0.32223051  -0.09488237    -0.54061792   0.1928388570      -0.60105741    -0.6723866 -2.583634e-01
9052-bus   0.87467492 -0.14099024   0.96950256    -1.15159377  -0.3255967025      -0.60105741    -0.6723866 -3.127517e-01
9138-bus  -0.04479257 -0.23161038   0.76993039    -1.15159377  -0.2607922575      -0.60105741    -1.2193214 -3.157733e-01
9238-bus  -0.22868607 -0.32223051   0.37078604    -0.54061792   0.0037220393      -0.60105741    -0.6723866 -2.787590e-01
9191-bus  -0.16738824 -0.23161038   1.03602662    -0.54061792  -0.1199672137      -0.60105741    -0.6723866 -3.006654e-01
9239-bus   0.01650526 -0.23161038   1.36864691    -0.54061792  -0.2785511679      -0.60105741    -0.6723866 -2.961331e-01
9350-bus   1.67154674 -0.32223051   1.16907474    -2.37354547  -1.6559571825      -0.60105741    -1.7662562 -1.646946e-01
