                Factor1       Factor2       Factor3
3412-bus  -1.422251e+00  9.662047e-02 -0.6123336911
9155-bus  -1.706149e+00 -3.167501e-01  0.7479127988
3385-bus  -1.829931e+00  2.814963e-01 -0.9641337213
6070-bus  -1.474084e+00  2.851810e-01 -1.1140493769
10433-bus -1.315843e+00  2.735006e-01 -1.1553171389
10376-bus -1.317902e+00  2.200198e-01 -0.9934649935
10653-bus -1.889490e+00 -2.729038e-01  0.6944483675
10557-bus -1.909797e+00 -2.201711e-01  0.5415849567
12273-bus -5.929650e-01 -1.323523e-02 -0.6070840463
4002-bus  -1.338221e+00  3.042352e-01 -1.2342919587
9372-bus  -1.715766e+00 -3.597196e-01  0.8825107754
10842-bus -2.212822e+00 -4.299550e-01  1.2734681787
4916-bus  -1.252326e+00 -1.006195e-01 -0.0759324897
6189-bus  -1.456546e+00  2.856168e-01 -1.1206933401
9164-bus  -1.638419e+00 -2.947441e-01  0.6587870903
6069-bus  -1.512690e+00  2.827438e-01 -1.0948011769
9357-bus  -1.974324e+00 -4.782356e-01  1.3172510852
10425-bus -1.810158e+00 -1.812745e-01  0.3910199839
10779-bus -2.005564e+00 -3.611053e-01  0.9985450419
8304-bus  -1.662631e+00 -1.204523e-01  0.1271107857
6244-bus  -1.455649e+00  2.853941e-01 -1.1204543360
9516-bus  -1.673806e+00 -4.882695e-01  1.2251472765
12276-bus -5.945477e-01 -3.005127e-02 -0.5552371161
9243-bus  -1.892320e+00 -4.046091e-01  1.0677503040
9643-bus  -1.962906e+00 -4.708409e-01  1.2911074940
3379-bus  -1.826927e+00  2.783548e-01 -0.9563254666
9450-bus  -1.642326e+00 -3.470465e-01  0.8213692103
6849-bus  -2.206479e-01 -4.961427e-01  0.7862522717
4939-bus  -8.716537e-01 -2.603334e-02 -0.4522863413
12279-bus -5.980719e-01 -3.209646e-02 -0.5477550307
9857-bus  -1.512181e+00 -2.736527e-01  0.5224355178
6789-bus  -3.404898e-01 -4.849350e-01  0.8002105363
9760-bus  -1.615198e+00 -3.904248e-01  0.9099561465
9107-bus  -1.657382e+00 -1.941073e-01  0.3545314435
7189-bus  -8.875009e-01 -4.741311e-01  0.9429108942
9005-bus  -1.639325e+00 -1.614385e-01  0.2511128732
9026-bus  -1.631897e+00 -1.635478e-01  0.2543987329
10468-bus -1.731297e+00  2.529664e-01 -0.9097050514
10755-bus -1.360020e+00  2.528857e-01 -1.0702620604
12270-bus -1.472939e+00  8.358592e-02 -0.5413624205
4349-bus  -1.234967e+00  2.994417e-01 -1.2558294252
8978-bus  -1.587456e+00 -1.988928e-01  0.3506733208
12280-bus -5.915810e-01 -2.687695e-02 -0.5657292891
12252-bus -1.461524e+00  2.696138e-01 -1.0832430756
10496-bus -1.340636e+00  2.344544e-01 -1.0255413307
6348-bus  -1.455600e+00  2.847351e-01 -1.1186128798
12262-bus -1.903183e+00  2.275850e-01 -0.7619900105
6703-bus  -1.059899e+00 -4.685851e-01  1.0592441393
8591-bus  -1.332762e+00 -1.143781e-01 -0.0193195291
12269-bus -1.655130e+00  2.809760e-01 -1.0328724643
8954-bus  -1.529954e+00 -2.038541e-01  0.3463450649
11564-bus -3.497787e-01 -1.576813e-01 -0.0721643658
11567-bus  1.538577e-01 -2.671277e-01  0.0510388809
11537-bus  1.416392e-01 -2.871541e-01  0.1164670092
11666-bus -2.914577e-01 -2.861932e-01  0.2756558306
11510-bus  1.161354e+00 -1.746080e-01 -0.6286139244
11822-bus -8.821662e-01 -2.535006e-01  0.4135119310
