OBJECTID,FID_Tram_Facilities_Transfer_Buffer_160m,Name,SourceID,SourceOID,PosAlong,SideOfEdge,CurbApproach,Status,Attr_Length,Breaks_Length,X,Y,BUFF_DIST,ORIG_FID,FID_Bus_Facilities,Name_1,SourceID_1,SourceOID_1,PosAlong_1,SideOfEdge_1,CurbApproach_1,Status_1,Attr_Length_1,Breaks_Length_1,X_1,Y_1
404,878,Location 878,1,874645,0.983654172167489,2,0,0,0.000000000000000,,324790.528200001,5821302.4778,160.000000000000000,878,7057,Location 7057,1,13700,0.106091402471984,1,0,0,0.000000000000000,,324748.992,5821307.0326
405,880,Location 880,1,12258,0.889927967691951,2,0,0,0.000000000000000,,320857.995800001,5821362.9593,160.000000000000000,880,7075,Location 7075,1,12258,0.738305829736486,2,0,0,0.000000000000000,,320852.362100001,5821400.6926
406,881,Location 881,1,15990,0.468339254131605,1,0,0,0.000000000000000,,314016.967100001,5821382.0159,160.000000000000000,881,7094,Location 7094,1,138214,0.683596990272774,1,0,0,0.000000000000000,,313969.2296,5821432.23
407,882,Location 882,1,138214,0.581040739792831,2,0,0,0.000000000000000,,314006.000200001,5821446.0506,160.000000000000000,882,7094,Location 7094,1,138214,0.683596990272774,1,0,0,0.000000000000000,,313969.2296,5821432.23
408,883,Location 883,1,161633,0.990317126949258,2,0,0,0.000000000000000,,322916.4902,5821508.9505,160.000000000000000,883,7097,Location 7097,1,161633,0.633141305099936,2,0,0,0.000000000000000,,322964.0184,5821502.0329
409,885,Location 885,1,12258,0.015794810643119,2,0,0,0.000000000000000,,320777.472300001,5821563.0387,160.000000000000000,885,7154,Location 7154,1,801885,0.531949049293992,1,0,0,0.000000000000000,,320733.318600001,5821709.6585
410,887,Location 887,1,409123,0.011433623485428,2,0,0,0.000000000000000,,320711.4814,5821751.4991,160.000000000000000,887,7154,Location 7154,1,801885,0.531949049293992,1,0,0,0.000000000000000,,320733.318600001,5821709.6585
411,889,Location 889,1,8254,0.983786733624034,1,0,0,0.000000000000000,,324972.0121,5821796.5147,160.000000000000000,889,7157,Location 7157,1,11618,0.766384334050968,1,0,0,0.000000000000000,,324970.051,5821818.9546
412,893,Location 893,1,11260,0.430285705387041,2,0,0,0.000000000000000,,314076.002800001,5822050.537,160.000000000000000,893,7211,Location 7211,1,11260,0.032123077867533,1,0,0,0.000000000000000,,314068.015300001,5822094.0443
413,891,Location 891,1,795780,0.701593742246354,2,0,0,0.000000000000000,,320642.0315,5821956.9805,160.000000000000000,891,7213,Location 7213,1,8517,0.714722285948658,2,0,0,0.000000000000000,,320584.998600001,5822100.4515
414,892,Location 892,1,795780,0.085684506279812,1,0,0,0.000000000000000,,320609.0267,5822010.9941,160.000000000000000,892,7213,Location 7213,1,8517,0.714722285948658,2,0,0,0.000000000000000,,320584.998600001,5822100.4515
415,894,Location 894,1,8517,0.556983289997170,1,0,0,0.000000000000000,,320560.966800001,5822140.949,160.000000000000000,894,7213,Location 7213,1,8517,0.714722285948658,2,0,0,0.000000000000000,,320584.998600001,5822100.4515
416,897,Location 897,1,8517,0.354911835687669,2,0,0,0.000000000000000,,320568.985900001,5822201.9609,160.000000000000000,897,7213,Location 7213,1,8517,0.714722285948658,2,0,0,0.000000000000000,,320584.998600001,5822100.4515
417,895,Location 895,1,181894,0.067407179272204,2,0,0,0.000000000000000,,325058.0363,5822175.9537,160.000000000000000,895,7230,Location 7230,1,10490,0.619603146477174,2,0,0,0.000000000000000,,324968.0055,5822180.0349
